iter	Logloss
0	0.6837501228
1	0.6744294747
2	0.6632511075
3	0.6535251724
4	0.644451461
5	0.6365348944
6	0.6259693338
7	0.617127556
8	0.6096142305
9	0.6017039379
10	0.5942583308
11	0.5857385049
12	0.5782409327
13	0.5701071627
14	0.5632199421
15	0.5589360242
16	0.5513275658
17	0.5447381558
18	0.5368232258
19	0.530176395
20	0.5244913282
21	0.5187868598
22	0.5134437604
23	0.5080521056
24	0.5008800656
25	0.496240439
26	0.4906037911
27	0.4847936193
28	0.4772846243
29	0.4711772215
30	0.4663351901
31	0.4617472899
32	0.4576300083
33	0.4530181373
34	0.4491233442
35	0.4448634654
36	0.4406781927
37	0.4357608731
38	0.4328384144
39	0.4295618835
40	0.4259710386
41	0.4227637264
42	0.4199241255
43	0.4163799265
44	0.4133562653
45	0.4104355455
46	0.4076027641
47	0.4043311774
48	0.4014162202
49	0.3982408236
50	0.39500654
51	0.3925744424
52	0.3891848431
53	0.3862781375
54	0.3832433605
55	0.3817517158
56	0.3800460048
57	0.3786849208
58	0.3761462334
59	0.3730679134
60	0.3706123224
61	0.3674171149
62	0.3655504621
63	0.3641399021
64	0.3629565361
65	0.3615436234
66	0.3602096131
67	0.3585106194
68	0.3567363036
69	0.3546268058
70	0.3524754018
71	0.3509404188
72	0.3478800683
73	0.3454493347
74	0.3429493824
75	0.341129921
76	0.33976778
77	0.3381554289
78	0.3361831409
79	0.3351801185
80	0.3335514687
81	0.3319358442
82	0.3300327749
83	0.3282024021
84	0.3272029259
85	0.3257610982
86	0.324766873
87	0.3235141179
88	0.3210984555
89	0.318784166
90	0.3178387008
91	0.3166193616
92	0.3154965534
93	0.314832941
94	0.3127648039
95	0.3116419616
96	0.3100116751
97	0.3090828155
98	0.3076283716
99	0.3063052385
100	0.3053001702
101	0.3040043836
102	0.3029125704
103	0.3021783413
104	0.3012583472
105	0.2996704102
106	0.2983072462
107	0.2969266241
108	0.2960117788
109	0.2951266667
110	0.2938774578
111	0.292702514
112	0.2915284567
113	0.2900353117
114	0.2892241238
115	0.2877908206
116	0.2871009187
117	0.2858391277
118	0.2847329593
119	0.2833391584
120	0.2827953147
121	0.2819868546
122	0.2812402821
123	0.2799656362
124	0.278491927
125	0.2771358895
126	0.2764428165
127	0.2750576254
128	0.2742163291
129	0.273307519
130	0.2719667403
131	0.2707533852
132	0.2697704464
133	0.2689742786
134	0.2684054242
135	0.2676860447
136	0.2670128508
137	0.2663691515
138	0.2651408275
139	0.2645997287
140	0.2637078312
141	0.2628165986
142	0.2621998707
143	0.2613567842
144	0.2608914508
145	0.2596712421
146	0.2589800446
147	0.2580962794
148	0.2572603194
149	0.2560605864
150	0.2553729862
151	0.2545904064
152	0.2534775547
153	0.2524386443
154	0.2513929996
155	0.2504878721
156	0.2495837505
157	0.2484562879
158	0.2477947725
159	0.2472967904
160	0.2465559634
161	0.2460294585
162	0.2454322517
163	0.2444736417
164	0.2437971914
165	0.2431935742
166	0.2422595829
167	0.2413811028
168	0.2405267641
169	0.2395927898
170	0.2390634547
171	0.238423063
172	0.2376061466
173	0.236841076
174	0.2361603806
175	0.2357116017
176	0.235029406
177	0.2345357032
178	0.233589215
179	0.2328756833
180	0.2321418293
181	0.2317097754
182	0.2311943864
183	0.230765981
184	0.2299681594
185	0.2292560258
186	0.2285438751
187	0.2280948404
188	0.2273085269
189	0.226555868
190	0.2256234792
191	0.2248057786
192	0.2241892554
193	0.2235475338
194	0.2230267914
195	0.2224946091
196	0.2221481579
197	0.2213534051
198	0.220870034
199	0.2203858956
200	0.2197847164
201	0.2190654392
202	0.2187669125
203	0.2179685795
204	0.2170864681
205	0.2165482335
206	0.216019103
207	0.2154928708
208	0.2148470575
209	0.2142774188
210	0.2139334908
211	0.2133250828
212	0.2124981758
213	0.2117576897
214	0.2111707634
215	0.2104458431
216	0.2099446387
217	0.2093905486
218	0.2088172955
219	0.2083978919
220	0.208026464
221	0.2076126866
222	0.2072285743
223	0.206901286
224	0.2061536395
225	0.2058703034
226	0.2054878107
227	0.2048116332
228	0.204269682
229	0.2037362722
230	0.203066096
231	0.2023658795
232	0.2018783143
233	0.2013619194
234	0.2007701852
235	0.1999545646
236	0.1992789498
237	0.1989345273
238	0.1985539442
239	0.1981573179
240	0.19772523
241	0.1972061583
242	0.1966488289
243	0.1961542396
244	0.1956379299
245	0.1952303412
246	0.1947645475
247	0.1943595673
248	0.1939812005
249	0.1935285003
250	0.1932490003
251	0.1928143208
252	0.1925819099
253	0.1923160319
254	0.1916190888
255	0.1911938204
256	0.190583196
257	0.190328451
258	0.1896669867
259	0.1893477626
260	0.1889101167
261	0.1884187155
262	0.1876433985
263	0.187171757
264	0.1866426436
265	0.1860867633
266	0.1854486902
267	0.1849537429
268	0.184483022
269	0.1838273203
270	0.1834092465
271	0.182902041
272	0.1826005477
273	0.1822498854
274	0.1819247965
275	0.1816006623
276	0.1811151771
277	0.1804986027
278	0.1800321611
279	0.1796737586
280	0.1792791782
281	0.178926129
282	0.1784692178
283	0.1778884461
284	0.1775153815
285	0.1771076906
286	0.1765791909
287	0.1758710637
288	0.1754208698
289	0.1751793547
290	0.1748202361
291	0.1744893165
292	0.1739433075
293	0.1734453255
294	0.1729996495
295	0.1727251788
296	0.1723057582
297	0.1719817433
298	0.1716688273
299	0.1713655951
300	0.1708332595
301	0.1705431549
302	0.1701700392
303	0.1695358191
304	0.1692108666
305	0.1689881735
306	0.1687756757
307	0.1684754782
308	0.1682872239
309	0.1679692274
310	0.1677282578
311	0.1674087098
312	0.1670236087
313	0.1666373141
314	0.1663373723
315	0.1660275933
316	0.1657655513
317	0.1653353728
318	0.1649742254
319	0.1646314909
320	0.1641623044
321	0.1638540939
322	0.1636203702
323	0.1630602959
324	0.1627175102
325	0.162413596
326	0.1621096137
327	0.1617378789
328	0.1614359083
329	0.1610171014
330	0.1607104594
331	0.1604920116
332	0.1601744071
333	0.1598010015
334	0.1594379105
335	0.1591528525
336	0.1587747755
337	0.1584932295
338	0.1582936548
339	0.1578574751
340	0.1573884421
341	0.1570699681
342	0.1567701968
343	0.1565078309
344	0.1562210509
345	0.1558577724
346	0.1555895075
347	0.1552200062
348	0.154958936
349	0.1546719855
350	0.1544679439
351	0.1541606541
352	0.1538659804
353	0.1536903083
354	0.153264392
355	0.1528981129
356	0.1525520538
357	0.1521941798
358	0.1518076977
359	0.1514741866
360	0.151151331
361	0.1509466587
362	0.150653008
363	0.1502150722
364	0.1499499785
365	0.1496142169
366	0.1493630862
367	0.1491414161
368	0.1489304527
369	0.1487134539
370	0.1484032317
371	0.1481384789
372	0.1478152824
373	0.1473506991
374	0.1470019804
375	0.1468108619
376	0.1463738468
377	0.1460444786
378	0.1456778073
379	0.1454576205
380	0.1451686582
381	0.1448231617
382	0.1444754659
383	0.1441419889
384	0.1438660691
385	0.1436790253
386	0.1434207852
387	0.1430356841
388	0.1428120789
389	0.1422843635
390	0.1420494975
391	0.1417181175
392	0.1414106998
393	0.1411198962
394	0.1408727209
395	0.1405275995
396	0.1402321586
397	0.1399350214
398	0.1395852371
399	0.1393382323
400	0.1389931876
401	0.1386810303
402	0.1383695549
403	0.1380841303
404	0.1378899771
405	0.1376743594
406	0.1373326818
407	0.1371077894
408	0.1367660267
