iter	Passed	Remaining
0	280	139743
1	412	102637
2	543	89992
3	681	84538
4	823	81534
5	968	79760
6	1108	78086
7	1250	76902
8	1437	78412
9	1654	81092
10	1864	82891
11	2013	81874
12	2157	80824
13	2329	80872
14	2546	82334
15	2734	82717
16	2882	81901
17	3030	81151
18	3221	81547
19	3442	82617
20	3600	82136
21	3749	81464
22	3959	82115
23	4179	82895
24	4339	82445
25	4489	81848
26	4647	81411
27	4865	82013
28	5086	82606
29	5253	82298
30	5407	81810
31	5599	81890
32	5814	82278
33	6002	82271
34	6150	81717
35	6287	81044
36	6436	80547
37	6584	80054
38	6732	79577
39	6879	79114
40	7046	78884
41	7251	79071
42	7467	79365
43	7649	79275
44	7797	78837
45	7943	78393
46	8090	77981
47	8237	77567
48	8380	77135
49	8528	76760
50	8701	76609
51	8862	76352
52	9060	76416
53	9254	76431
54	9423	76242
55	9571	75887
56	9715	75505
57	9862	75162
58	10012	74838
59	10168	74567
60	10383	74726
61	10600	74886
62	10791	74856
63	10947	74581
64	11159	74683
65	11372	74781
66	11552	74659
67	11744	74610
68	11949	74639
69	12161	74708
70	12487	75452
71	12724	75638
72	12993	76000
73	13297	76550
74	13492	76456
75	13651	76159
76	13873	76212
77	14051	76021
78	14194	75642
79	14339	75282
80	14488	74944
81	14634	74597
82	14784	74280
83	14932	73951
84	15082	73640
85	15229	73315
86	15376	72994
87	15523	72677
88	15675	72387
89	15826	72099
90	15973	71793
91	16127	71523
92	16276	71232
93	16433	70979
94	16632	70908
95	16849	70907
96	17004	70646
97	17153	70365
98	17350	70276
99	17568	70275
100	17724	70021
101	17874	69747
102	18038	69526
103	18256	69515
104	18469	69481
105	18630	69249
106	18794	69031
107	18978	68885
108	19139	68655
109	19291	68398
110	19454	68179
111	19611	67939
112	19758	67668
113	19907	67405
114	20062	67165
115	20214	66918
116	20371	66684
117	20527	66453
118	20687	66234
119	20851	66029
120	21033	65880
121	21211	65722
122	21364	65481
123	21519	65253
124	21677	65031
125	21836	64815
126	21994	64597
127	22168	64427
128	22335	64235
129	22497	64031
130	22662	63835
131	22817	63612
132	22977	63403
133	23128	63172
134	23279	62940
135	23432	62715
136	23589	62504
137	23746	62292
138	23899	62071
139	24059	61867
140	24211	61645
141	24363	61422
142	24522	61221
143	24677	61007
144	24888	60934
145	25119	60905
146	25327	60820
147	25480	60601
148	25639	60398
149	25800	60200
150	25961	60003
151	26125	59814
152	26292	59631
153	26454	59436
154	26619	59249
155	26789	59074
156	26952	58882
157	27109	58679
158	27266	58476
159	27418	58263
160	27573	58058
161	27728	57854
162	27882	57646
163	28043	57454
164	28193	57241
165	28347	57035
166	28507	56843
167	28665	56648
168	28820	56447
169	28976	56248
170	29134	56054
171	29313	55899
172	29530	55816
173	29720	55683
174	29877	55486
175	30030	55283
176	30184	55082
177	30335	54876
178	30491	54680
179	30650	54490
180	30805	54292
181	30960	54095
182	31125	53916
183	31340	53824
184	31561	53739
185	31722	53552
186	31900	53394
187	32130	53322
188	32288	53131
189	32462	52965
190	32696	52896
191	32919	52807
192	33164	52754
193	33388	52664
194	33623	52590
195	33836	52481
196	34014	52317
197	34173	52123
198	34369	51986
199	34583	51875
200	34803	51772
201	34979	51603
202	35136	51407
203	35297	51216
204	35458	51025
205	35611	50824
206	35769	50630
207	35933	50444
208	36099	50262
209	36256	50068
210	36561	50077
211	36753	49929
212	36924	49753
213	37090	49569
214	37275	49412
215	37461	49255
216	37656	49109
217	37890	49014
218	38079	48860
219	38272	48711
220	38467	48562
221	38667	48421
222	38893	48312
223	39069	48139
224	39374	48124
225	39540	47938
226	39698	47743
227	39905	47606
228	40131	47492
229	40352	47370
230	40564	47237
231	40756	47080
232	40923	46895
233	41096	46716
234	41270	46538
235	41443	46360
236	41645	46213
237	41819	46036
238	41995	45861
239	42190	45706
240	42423	45591
241	42725	45549
242	42928	45402
243	43190	45314
244	43438	45211
245	43685	45106
246	43930	44997
247	44167	44879
248	44404	44760
249	44658	44658
250	44911	44553
251	45159	44442
252	45387	44311
253	45604	44168
254	45764	43970
255	45927	43774
256	46087	43576
257	46244	43376
258	46439	43212
259	46608	43023
260	46764	42822
261	46987	42683
262	47214	42547
263	47398	42371
264	47595	42207
265	47773	42026
266	47973	41864
267	48152	41684
268	48339	41510
269	48511	41324
270	48678	41134
271	48855	40952
272	49039	40776
273	49189	40572
274	49344	40372
275	49547	40212
276	49713	40022
277	49870	39824
278	50050	39645
279	50217	39456
280	50393	39274
281	50557	39083
282	50719	38890
283	50940	38743
284	51170	38602
285	51398	38459
286	51707	38374
287	51961	38249
288	52345	38217
289	52550	38053
290	52746	37883
291	52978	37737
292	53171	37564
293	53441	37445
294	53617	37259
295	53791	37072
296	53958	36880
297	54126	36689
298	54294	36498
299	54469	36313
300	54641	36125
301	54814	35938
302	54979	35745
303	55150	35557
304	55325	35371
305	55492	35181
306	55648	34983
307	55804	34787
308	56029	34633
309	56186	34436
310	56349	34244
311	56630	34123
312	56847	33963
313	57044	33790
314	57244	33619
315	57435	33443
316	57636	33273
317	57823	33094
318	57991	32904
319	58192	32733
320	58400	32565
321	58592	32389
322	58789	32215
323	58961	32028
324	59133	31841
325	59307	31654
326	59478	31467
327	59662	31286
328	59860	31112
329	60050	30935
330	60214	30744
331	60391	30559
332	60552	30366
333	60707	30172
334	60867	29979
335	61080	29812
336	61280	29640
337	61488	29470
338	61715	29310
339	61909	29133
340	62088	28950
341	62270	28768
342	62464	28591
343	62661	28416
344	62854	28238
345	63045	28060
346	63247	27887
347	63431	27705
348	63612	27522
349	63794	27340
350	63964	27152
351	64133	26965
352	64391	26814
353	64606	26645
354	64754	26449
355	64931	26264
356	65091	26073
357	65263	25886
358	65525	25735
359	65750	25569
360	65944	25391
361	66129	25209
362	66319	25029
363	66491	24842
364	66667	24658
365	66851	24475
366	67036	24293
367	67214	24109
368	67416	23933
369	67683	23780
370	67859	23595
371	68031	23408
372	68183	23215
373	68427	23053
374	68656	22885
375	68857	22708
376	69049	22528
377	69240	22347
378	69506	22190
379	69721	22017
380	69886	21828
381	70052	21639
382	70201	21445
383	70354	21253
384	70503	21059
385	70662	20869
386	70856	20689
387	71105	20525
388	71320	20351
389	71551	20181
390	71755	20003
391	71954	19824
392	72140	19641
393	72363	19468
394	72531	19280
395	72684	19088
396	72834	18896
397	73009	18710
398	73187	18526
399	73334	18333
400	73541	18156
401	73767	17983
402	74007	17813
403	74230	17638
404	74453	17464
405	74645	17282
406	74802	17092
407	74947	16899
408	75148	16720
409	75377	16546
410	75567	16363
411	75755	16180
412	75938	15996
413	76094	15807
414	76268	15621
415	76454	15437
416	76715	15269
417	76937	15092
418	77150	14914
419	77330	14729
420	77506	14543
421	77679	14357
422	77850	14171
423	78059	13991
424	78279	13814
425	78434	13624
426	78615	13440
427	78765	13250
428	78915	13060
429	79059	12870
430	79213	12681
431	79367	12493
432	79504	12302
433	79649	12112
434	79790	11922
435	80048	11750
436	80241	11568
437	80407	11381
438	80578	11196
439	80855	11025
440	81056	10844
441	81210	10656
442	81473	10483
443	81695	10303
444	81887	10120
445	82067	9936
446	82250	9752
447	82451	9570
448	82677	9391
449	82908	9212
450	83118	9030
451	83355	8851
452	83635	8677
453	83819	8492
454	83984	8306
455	84163	8121
456	84344	7936
457	84521	7750
458	84749	7570
459	84913	7383
460	85070	7196
461	85212	7008
462	85363	6821
463	85552	6637
464	85735	6453
465	86009	6275
466	86246	6094
467	86403	5907
468	86612	5724
469	86764	5538
470	86977	5355
471	87205	5173
472	87393	4988
473	87543	4801
474	87712	4616
475	87859	4429
476	88011	4243
477	88197	4059
478	88435	3877
479	88607	3691
480	88775	3506
481	88950	3321
482	89120	3136
483	89269	2951
484	89443	2766
485	89604	2581
486	89753	2395
487	89916	2211
488	90066	2026
489	90233	1841
490	90508	1659
491	90738	1475
